Doc_ID,TAGS,CLASS
1,"DT,NNP,NNP,NNP,VBZ,JJ,TO,PRP,VBZ,IN,CD,EX,VBP,JJ,JJ,NNS,IN,CD,VBZ,DT,NNP,NNP,EX,VBP,NN,NNS,CC,JJ,NN,VBZ,DT,JJ,NNS,NNS,VBP,IN,NNS,VBP,JJR,CC,JJR,JJ",1
2,"DT,NN,VBZ,IN,DT,NN,NN,IN,DT,NN,VBZ,RP,IN,DT,PRP,VBZ,CD,NNS,DT,NN,VBZ,PRP,VBP,TO,VB,DT,NN,VBZ,PRP$,TO,PRP,VBZ,IN",1
3,"EX,VBZ,DT,JJ,NN,IN,PRP,VBZ,DT,PRP,VBZ,RB,DT,JJ,PRP,VBZ,RB,DT,PRP,VBZ,IN,DT,JJ,NNS,VBP,JJ,WRB,PRP,VBP,DT,DT,NN,VBZ,DT,JJ,IN,CD,PRP,VBZ,IN,IN,DT,NN,DT,NN,VBZ,RB,PRP,RB,VBZ,PRP$,NN,IN,CD,NN,TO,CC,WRB,NNS,VBP,IN,PRP,VBZ,NNS,CC,VBZ,PRP$,NNS,VBP,IN,NNS,VBP,PRP$,NN,IN,NNS,RB,VBP,JJR,TO,NNS,IN,DT,NN,VBZ,TO,VB,NNS,IN,DT,NNS,IN,DT,JJ,PRP,VBZ,TO,VB,NNS,IN,NNS,CC,JJ,NNS",1
4,"DT,NN,VBZ,IN,NNS,VBP,JJ,DT,NN,NNS,TO,PRP,VBZ,EX,VBP,CD,NNS,IN,PRP,VBP,DT,JJ,JJ,DT,NN,VBZ,DT,NNS,TO,VB,DT,NN",1
5,"DT,NN,VBZ,IN,DT,NNP,DT,NN,VBZ,PRP,VBZ,RB,DT,NN,VBZ,PRP,CC,PRP,VBZ,RB,DT,NN,NN,VBZ,RB,CD,NNS,DT,NN,VBZ,PRP,VB,TO,DT,PRP,VBZ,JJ,IN,DT,NN,VBD,NNS,NN,DT,NN,IN,DT,DT,CD,NNS,VBP,PRP,VBP,TO,VB,IN,PRP,VBP,TO,VB,DT,NN,JJ",1
6,"WRB,PRP,VBP,DT,PRP,VBP,IN,DT,NN,IN,VBZ,DT,JJ,IN,CD,JJ,DT,JJ,NN,VBZ,RB,JJ,DT,NN,IN,NNP,VBZ,RB,IN,DT,NN,IN,PRP,VBZ,DT,NN,TO,DT,NN,IN,DT,NN,DT,JJ,NN,IN,NNP,VBZ,IN,PRP,VBZ,RB,JJ,WRB,PRP,VBP,RB,DT,JJ,NN,IN,DT,PRP,VBZ,IN,PRP,RB,VBP,DT,JJ,DT,IN,NNS,VBP,RB,VB,DT,CD,IN,PRP,VBZ,IN,IN,PRP,PRP,VBZ,RB,DT,PRP,VBZ,RB,VB,IN,PRP,VBZ,DT,NN,CC,DT,DT,NN,IN,NNP,VBZ,DT,PRP,RB,VBZ,RB,JJ,IN,DT,PRP,VBZ,IN,PRP,MD,RB,VB,NNS,VB,DT,DT,NN,VBZ,TO,VB,DT,JJ,VBG,NNS,IN,DT,NN,IN,CD,NN,IN",1
7,"VBG,JJ,NNS,IN,NNP,DT,NN,VBZ,DT,JJ,NN,IN,NNP,PRP,VBZ,IN,DT,PRP,VBZ,IN,PRP,VBZ,DT,PRP,VBZ,JJ,DT,NN,IN,VBZ,IN,IN,DT,PRP,VBZ,CC,NNS,VBP,DT,NN,VBZ,CD,NNS,PRP,VBZ,PRP$,NN,VBZ,NNP,PRP,VBD,IN,DT,PRP,VBD,NN",1
8,"NNP,NNP,VBD,CD,NNS,PRP$,JJ,VBZ,DT,JJ,NNP,PRP$,NN,VBZ,DT,NN,VBZ,IN,NNP,VBZ,IN,NNP,MD,VB,DT,PRP,VBD,VBG,NNS,IN,PRP$,DT,NN,VBZ,JJ,PRP,VBZ,CC,CD,PRP,VBZ,CD,JJ,PRP,VBZ,NN,IN,DT,CD,CD,NN,NN,TO,NNP,RB,VBP,DT",1
9,"JJ,NNS,DT,IN,DT,NN,VBP,IN,PRP,VBZ,RB,IN,CD,NNS,VBP,NNP,NNP,NNP,VBZ,IN,PRP$,PRP,VBZ,IN,EX,VBZ,JJ,PRP,VBZ,DT,JJ,NN,IN,NNP,DT,NN,VBZ,CD,NNS,VBP",1
10,"DT,NN,VBZ,IN,NNS,IN,DT,NN,VB,PRP$,NN,IN,DT,PRP,VBP,CD,NNS,IN,PRP,VBP,NNS,CC,DT,CD,DT,NNS,VBP,DT,NNS,IN,DT,DT,NN,NNS,NN,IN,DT,DT,NN,VBZ,PRP$,NNS,TO,VB,CD,NN,VBZ,IN,DT,VBZ,PRP,VBZ,PRP,NN,DT,NNS,VBP,IN,PRP,VBP,IN",1
11,"DT,NN,VBZ,IN,NNP,NNP,EX,VBD,DT,NN,PRP,VBD,DT,NNP,NNP,NNP,NNP,IN,NNS,VBD,IN,DT,DT,NNS,VBD,TO,VB,PRP,MD,PRP,VBD,RB,DT,NN,NN,VBD,CD,NNS,IN,DT,NNS,VBD,DT,DT,VBD,DT,JJ",1
12,"IN,NNP,RB,VBZ,DT,JJ,NNS,VBP,IN,RB,JJ,NNS,DT,JJ,NN,IN,NN,VBZ,JJ,TO,PRP$,DT,NNS,VB,DT,DT,RB,JJ,NN,DT,NN,VBZ,IN,DT,PRP,VBZ,CD,PRP,VBZ,CD,NNS,VBP,IN,JJ,DT,NNS,VBP,IN,CD,NNS,VBP,DT,CD,NN,VBZ,IN,PRP,VBP,TO,VB,TO,NN,IN,DT,PRP,VBZ,IN,DT,NN,VBP,RB",1
13,"CD,NNS,NNS,VBP,DT,DT,NN,RB,PRP,VBZ,IN,DT,DT,NN,VBZ,DT,NN,NN,VBZ,IN,DT,NN,VBZ,DT,NN,TO,VB,RB,IN,JJ,DT,JJ,NN,VBZ,NNS,TO,VB,DT,NN,VBZ,IN,PRP,DT,JJ,DT,NN,NN,VBZ,IN,DT,NN,VBZ,DT,PRP,VBZ,IN,DT,NN,VBZ,DT,NN,VB,PRP,VBZ,DT,PRP,VBZ,IN,RB,DT,NN,VBZ,RB,IN,DT,PRP,VBZ,IN,PRP,VBZ,IN,DT,NNS,VBP,RB",1
14,"NNS,VBP,NN,JJ,IN,PRP,VBP,RB,JJ,JJ,DT,NNS,VBP,RB,PRP,VBP,DT,JJS,NNS,IN,JJR,NNS,VBP,RB,IN,NNS,VBP,NNS,IN,DT,PRP,VBP,DT,NNS,TO,VB,DT,DT,NN,IN,DT,NNS,CC,DT,NN,VBP,VBN,JJS,IN,DT,NNS,VBP,DT,VBZ,DT,JJ,PRP,VBZ,PRP,JJ,PRP,MD,VB,NN",1
15,"DT,NN,VBZ,IN,DT,NNS,VBP,PRP,IN,PRP,VBZ,IN,DT,JJ,PRP,VBZ,DT,NN,DT,NN,VBZ,IN,DT,NN,VBZ,PRP,VBZ,PRP,VBZ,CC,DT,DT,NN,VBZ,DT,PRP,RB,VBZ,TO,NNS,VBP,TO,VB,PRP",1
16,"NNP,VBZ,DT,JJ,PRP,VBZ,DT,NN,IN,PRP,VBZ,VBN,IN,DT,NNP,IN,PRP,VBZ,DT,NN,IN,DT,NN,IN,EX,VBP,JJ,NNS,IN,DT,DT,NN,VBZ,PRP$,JJ,DT,NNS,NN,IN,DT,EX,VBP,DT,DT,JJ,NN,VBZ,DT,NN,IN,PRP,VBZ,DT,NNS,IN,DT,NNS,PRP,VBP,RB,VB,IN,NNS,DT",1
17,"DT,NN,VBZ,NNS,IN,CD,NN,VBZ,VBN,IN,CD,JJ,DT,NN,VBZ,NN,PRP,RB,VBZ,NN,DT,NN,VBZ,IN,NN,EX,VBP,CD,NNS,IN,NNP,DT,PRP,MD,VB,CD,NNP,NNS,IN,DT,CD,CD,NNS,VBD,CC,VBD,JJ",1
18,"DT,NN,VBZ,DT,PRP,VBZ,PRP,IN,DT,NN,IN,PRP,VBZ,DT,NN,NNP,NNS,VBP,RB,WRB,DT,NN,VBZ,PRP,VBZ,IN,RB,JJ,PRP,VBZ,VBN,CC,PRP,VBZ,NN,CC,NN,DT,NN,VBZ,RB,VB,DT,DT,NN,VBZ,VBG,NNS,IN,DT",1
19,"NNP,NNP,VBZ,TO,VB,DT,DT,NNP,PRP,VBZ,DT,NN,TO,DT,NN,VBZ,VBG,RBR,CC,RBR,DT,NN,NN,VBZ,VBG,TO,DT,PRP,VBZ,DT,JJ,NN,VBZ,IN,PRP,VBZ,JJS,PRP,MD,VB,PRP$,NN,VBZ",1
20,"RB,VBZ,DT,NN,IN,DT,NN,VBZ,VBG,NNS,PRP,VBZ,IN,DT,JJ,DT,NN,VBZ,IN,PRP,VBZ,DT,DT,VBD,IN,JJS,NNS,VBP,RP,WRB,PRP,VBP,DT,DT,NNS,DT,NN,VBZ,VBG,IN,PRP,VBP,VBG,TO,VB,DT",1
21,"IN,DT,NN,VBZ,DT,JJ,PRP,VBZ,IN,DT,NN,IN,DT,PRP,VBZ,PRP,VBZ,DT,IN,DT,NN,IN,DT,NNP,VBZ,DT,NN,IN,PRP,VBG,PRP,VBZ,DT,NN,IN,DT,NN,VBP,DT,PRP,VBP,DT,PRP,VBP,IN,PRP,VBZ,DT,PRP,RB,VBP,IN,PRP,VBZ,DT",1
22,"DT,NN,VBZ,IN,DT,PRP,VBZ,PRP,VBZ,IN,DT,PRP,VBZ,IN,DT,NN,PRP,VBZ,DT,NN,IN,DT,PRP,VBZ,DT,JJ,NN,IN,DT,NNP,TO,VB,PRP,VBZ,DT,CC,PRP,VBZ,PRP,VBZ,IN,JJR,IN,PRP,VBZ,IN,WP,PRP,VBZ,PRP,VBZ,IN,DT,NNS,MD,VB,DT",1
23,"NNS,IN,NNP,VBP,DT,PRP,VBZ,RB,JJ,CC,RB,PRP,VBP,PRP,IN,NN,WRB,DT,NNS,VBP,PRP,VBZ,IN,DT,PRP,VBZ,CD,PRP,VBZ,RB,DT,NN,IN,DT,RB,JJ,NN,IN,VBZ,VBP,IN,PRP,VBZ,DT,NN,IN,NNP,PRP,NNS,NNP,IN,CD,NNS,IN,CD,NNS,PRP,VBP,TO,VB,DT,NNS,IN,DT,NN,RB,IN,DT,NNP,NN,IN,DT,JJ,JJ,NN,VBZ,DT",1
24,"IN,NN,NNS,VBP,NN,JJ,IN,PRP,VBP,DT,JJ,NN,NNP,DT,NNP,PRP,VBZ,PRP,CD,DT,NN,VBZ,CD,NNS,NNP,VBZ,TO,DT,NN,NN,IN,NNP,CC,NNS,VBP,JJ,TO,VB,DT,NNP,NNP,RB,PRP,VBZ,RP,NN",1
25,"DT,NN,VBZ,IN,DT,NN,IN,VBG,JJ,NNS,DT,JJ,NN,VBZ,NNS,VBP,PRP,VBP,DT,NN,IN,PRP,VBP,RB,VB,IN,DT,NN,VBZ,DT,NNS,VBP,RP,WP,DT,NN,VBZ,DT,NN,DT,NN,VBZ,RB,PRP,VBZ,VBN,IN",1
26,"DT,NNP,NNP,IN,DT,NNP,VBZ,CD,NNP,NN,PRP$,NN,VBZ,DT,NNPS,MD,VB,NN,IN,DT,DT,JJ,NN,VBZ,PRP$,PRP$,NN,VBZ,TO,VB,DT,JJ,NN,IN,DT,PRP,VBZ,DT,PRP,VBZ,JJ,TO,PRP,VBZ,DT,NNS,VBP,DT,IN,PRP,VBZ,PRP,IN,PRP,VBP,RB,DT,NN,MD,VB,JJ,NN",1
27,"EX,VBZ,DT,NN,IN,NNS,CC,PRP,VBZ,IN,PRP$,NN,MD,VB,DT,DT,DT,JJ,CC,PRP,MD,CD,NN,VBZ,IN,PRP$,PRP,VBZ,IN,PRP,MD,VB,IN,DT,DT,NN,IN,DT,MD,VB,JJ,NNS,CC,NNS,VBP,RB,DT,NN,NNS,IN,CD,NNP",1
28,"DT,NN,VBZ,IN,CD,NNS,VBP,PRP,VBP,IN,PRP$,NN,NN,VBZ,IN,DT,DT,NN,VBZ,EX,VBP,CD,NNS,IN,DT,NN,DT,JJ,NNS,VBP,CC,JJS,NNS,VBP,IN,DT,DT,NN,NN,DT,PRP,VBZ,DT,JJ",1
29,"RB,VBZ,NN,IN,DT,JJ,VBZ,IN,DT,NN,IN,DT,JJ,VBP,TO,PRP,VBP,VBN,IN,DT,PRP,VBP,RB,IN,DT,CD,NN,VBZ,TO,VB,DT,JJ,NNS,DT,JJ,NNS,IN,DT,PRP,VBZ,IN,DT,JJ,PRP,VBZ,VBN,IN,DT,NN,RB,VBZ",1
30,"NNS,VBP,DT,JJ,DT,NN,VBZ,IN,NN,IN,DT,PRP,VBZ,CD,NNS,DT,NNS,VBP,DT,NN,VBZ,CD,NNS,VBD,WDT,RB,JJ,NNS,VBP,DT,VBZ,RB,JJ,NNS,VBP,DT,NN,VBZ,DT,JJS,NN,WDT,VBZ,PRP,WRB,DT,NNS,VBP,PRP,VBP,RB,VBN,IN,NN,CC",1
31,"DT,JJ,NN,NNS,IN,PRP,VBZ,DT,NN,NN,DT,VBZ,DT,JJ,NN,NN,IN,EX,VBP,CD,EX,VBP,CD,NNS,IN,DT,PRP,VBP,CD,JJ,PRP,VBP,DT,NNS,IN,PRP,MD,VB,PRP,IN,DT,NN,IN,DT,DT,NN,MD,VB,CD",1
32,"DT,NN,VBZ,IN,DT,PRP,VBZ,DT,JJS,NN,NN,IN,DT,PRP$,NN,VBZ,PRP,VBZ,DT,NNP,NNP,NNPS,MD,VB,CD,NNS,NNP,VBD,CD,NNS,JJ,IN,PRP,VBD,CD,NN,PRP,VBZ,RB,CD,PRP,VBZ,CD,NNS,NNP,VBZ,JJ,DT,NN,RB,VBZ,DT,NN,PRP,VBZ,RB,VB,NNP,TO,VB,DT",1
33,"NNP,VBZ,DT,PRP,VBZ,PRP,VBZ,IN,NNS,VBP,DT,PRP,VBP,NNS,CC,EX,VBZ,DT,DT,NN,VBZ,DT,IN,NN,VBZ,JJ,CC,JJ,VBZ,DT,VBZ,DT,CD,NNS,VBP,IN,DT,CD,NNS,VBP,TO",1
34,"DT,NN,VBZ,IN,DT,JJ,PRP,VBZ,DT,PRP,VBZ,DT,PRP,VBZ,JJ,NNS,IN,DT,NN,NNS,DT,PRP,VBZ,RB,CC,PRP,VBZ,RB,PRP,VBZ,RP,DT,NN,IN,DT,PRP,VBZ,DT,NN,VBZ,CD,NNS,DT,NN,VBZ,RB,CD,DT,NN,VBZ,IN,DT,NN,PRP,VBZ,PRP$",1
35,"EX,VBZ,DT,NN,IN,IN,EX,VBZ,DT,PRP,VBZ,RB,DT,IN,DT,DT,VBZ,RB,JJR,NNS,VB,TO,DT,DT,EX,VBZ,DT,PRP,VBZ,DT,NN,IN,NN,TO,IN,PRP,VBZ,DT,NN,NNS,VBP,IN,NNS,MD,VB,TO,VB,PRP,VBP,DT,NN,TO,VB,DT,NNP",1
36,"RB,VBZ,DT,NN,IN,PRP,VBZ,IN,DT,JJ,PRP,VBZ,IN,DT,PRP,VBZ,IN,DT,NN,PRP,VBZ,DT,PRP,VBZ,RB,PRP,VBZ,RB,JJ,IN,PRP,PRP,VB,DT,NNS,VBP,DT,IN,DT,PRP,MD,VB,PRP,VBZ,RB,IN,DT,EX,VBP,RB,JJ,JJ,NNS,IN,DT,NNP,VBZ,DT,DT,NN,VBZ,CD,NNS,PRP,VBZ,CD,NNS,JJ,NNS,MD,VB,JJ",1
37,"DT,NN,VBZ,IN,PRP,VBZ,IN,NNP,PRP,VBZ,IN,DT,NN,PRP$,JJ,NN,IN,NN,VBZ,IN,IN,DT,JJ,PRP,VBZ,PRP,VBZ,PRP$,JJ,NN,VBG,PRP,VBZ,DT,NN,IN,CD,NNS,CC,NNS,IN,PRP,RB,VBZ,PRP,RB,VBZ,PRP,DT,JJS,PRP,VBZ,NNS,DT,NN,VBZ,VBN,IN,PRP$,NNP,VBZ,JJ,PRP$,NN,VBZ,PRP$,TO,VB,IN,PRP",1
38,"NNS,VBP,TO,DT,NN,NN,PRP,VBP,DT,NN,IN,PRP,VBP,IN,PRP,VBZ,RB,JJ,DT,VBZ,RB,IN,DT,DT,NNS,VBP,DT,NN,PRP,VBP,RP,IN,PRP,VBZ,DT,JJ,PRP,VBZ,CD,NNS,PRP,VBZ,IN,NN,IN,IN,DT,NNS,VBP,RB",1
39,"DT,NN,VBZ,DT,PRP,VBZ,DT,DT,NN,NNS,DT,NN,VBZ,IN,NNS,VBD,EX,VBZ,DT,JJ,PRP,VBZ,TO,JJ,JJ,CD,CC,CD,NNS,VBD,DT,NNS,VBD,WRB,DT,NN,VBD,NNP,VBZ,JJ,DT,NNS,VBP,JJR,IN,CD",1
40,"DT,NN,VBZ,IN,DT,DT,JJ,VBZ,IN,DT,PRP,VBZ,DT,JJS,JJ,IN,PRP,VBZ,CD,NNS,JJ,PRP,VBZ,IN,CD,DT,JJ,VBZ,DT,DT,NN,VBZ,DT,DT,NN,VBZ,DT,NNS,VBP,JJ,NNS,IN,NN,CC,JJ,NNS,NN,PRP,DT,JJ,NN,VBZ,JJ,IN,DT,JJ",1
41,"DT,NN,VBZ,IN,EX,VBZ,DT,JJ,JJ,PRP,VBZ,NNP,IN,DT,NNP,VBZ,NNP,CC,VBZ,DT,NN,VBZ,NN,IN,NNP,NNS,MD,VB,JJ,CC,JJ,NN,NNP,VBZ,DT,NN,IN,NN,PRP,RB,VBZ,DT,NN,IN,DT,PRP,VBZ,DT,PRP,VBZ,IN,NNS,MD,VB,RB,TO,VB",1
42,"NNS,IN,DT,NNP,VBP,DT,PRP,VBZ,DT,NN,IN,DT,DT,NN,VBZ,PRP,VBZ,VBN,IN,CD,NNS,CC,JJ,NNS,IN,DT,PRP,VBP,NNS,IN,DT,DT,NN,VBZ,IN,PRP,EX,VBP,NNS,CC,PRP,DT,VBZ,RB,JJ,IN,DT,NNS,VBP,RB,DT,NN,VBZ,RB,PRP,VBZ,JJ,IN,DT,DT,NN,VBZ,DT,JJ,PRP,MD,VB,DT,JJ,CC,JJ,NN,NNP,VBZ,DT,NN,CD,NNS,IN,DT,PRP,VBZ,IN,DT,JJ,PRP,VBP,RB,PRP,PRP,VBP,IN",1
43,"DT,JJ,NN,NNS,TO,DT,NNP,DT,VBZ,IN,DT,NN,IN,PRP,VBZ,RP,IN,PRP,PRP,VBZ,RB,RB,IN,CD,PRP,VBZ,DT,JJ,NN,PRP,VB,IN,PRP,VBZ,RP,IN,IN,DT,DT,NN,VBZ,PRP,VBZ,IN,JJ,NNS,VBP,IN,NN,IN,PRP,RB,DT,CD,PRP,VBZ,IN,PRP,VBZ,WRB,DT,NN,VBZ,IN,DT,NN,VBZ,RP,TO,PRP,VBZ,PRP$,IN,PRP,VBZ",1
44,"RB,VBZ,DT,JJ,PRP,VBZ,IN,DT,NN,IN,DT,DT,NNS,VBP,DT,NNS,PRP,VBP,DT,NNS,JJ,PRP,VBP,DT,NNS,TO,VB,DT,DT,NNS,VBP,DT,DT,JJ,VBZ,DT,DT,NN,VBZ,VBN,TO,CD,EX,VBP,CD,JJ,NNS,IN,NNS,IN,DT,CD,CD,NNS,VBP,DT,NN,DT",1
45,"NNP,VBP,IN,DT,NN,IN,PRP,VBZ,DT,NNP,NNP,IN,DT,NN,IN,DT,EX,VBZ,DT,PRP,VBZ,DT,JJ,NNP,PRP,VBP,VBG,NN,VBZ,JJ,NNS,JJ,NNS,VBP",1
46,"IN,DT,NN,CC,DT,NN,VBP,IN,DT,DT,NN,NNP,VBD,DT,PRP,VBP,IN,PRP,VBZ,NN,TO,PRP$,RB,PRP,VBZ,IN,DT,NN,NN,VBZ,IN,DT,PRP,VBZ,DT,NN,IN,DT,PRP,VBZ,PRP,PRP,VBZ,PRP,VBZ,DT,PRP,VBZ,DT,JJ,NN,PRP,VBZ,IN,EX,VBZ,DT,NN,IN,DT,JJ,NN,VBP,IN,DT,NN,VBZ,IN,DT,JJ,PRP$,NN,VBZ,IN,PRP,VBZ,RB,PRP$,DT,NN,VBP,RB",1
47,"DT,NN,IN,PRP,VBP,TO,VB,DT,JJ,NN,IN,DT,PRP,VBP,DT,JJ,DT,NN,VBZ,VBN,IN,PRP,VBZ,DT,NN,PRP,VBZ,IN,TO,CD,NNS,DT,NN,IN,DT,PRP,VBD,DT,JJ,IN,CD,NNS,IN,DT,NN,VBZ,TO,VB,DT,NNS,RB,VB",1
48,"NNS,CC,PRP$,NNS,VBP,TO,DT,NN,IN,PRP,VBP,TO,NNP,NN,VBZ,DT,NN,IN,NNP,VBP,TO,DT,NNS,VBP,TO,VB,DT,NN,VBZ,CD,NNP,NNP,NN,IN,NNS,VBP,JJ,JJ,NNS,IN,DT,IN,DT,NNS,NN",1
49,"VBP,PRP,IN,JJS,NNS,CD,NN,IN,NNP,VBZ,PRP,VBZ,DT,NN,PRP,VBZ,RP,CD,NN,NN,IN,CD,NN,IN,NNS,VBZ,IN,DT,NN,VBZ,DT,NN,DT,NN,IN,NNS,VBP,NN,NNS,CC,NN,IN,JJ,PRP,VBP,DT,NN,IN",1
50,"DT,NN,IN,NNP,VBZ,DT,DT,NN,CC,DT,NN,VBP,IN,DT,DT,NN,NN,CC,VBZ,IN,DT,DT,NN,VBZ,JJ,IN,PRP,VBZ,TO,DT,NN,VBZ,IN,PRP$,NN,VBZ,IN,DT,DT,NN,VBZ,TO,DT,NN,CC,DT,NN,VBP,IN,CD,DT,NN,VBZ,NNS,IN,TO,VB,DT,PRP,VBP,CC,DT,NN,VBZ,NNS",1
51,"DT,NN,NN,VBZ,IN,DT,NN,IN,PRP,VBZ,RB,PRP,VBZ,CC,JJ,IN,NNS,VBP,PRP,VBP,PRP,TO,DT,NN,WDT,VBZ,EX,PRP,VBP,PRP,NN,CC,PRP,VBZ,RBR,DT,NN,VBZ,DT,JJ,NN,IN,DT,NN",1
52,"DT,NN,VBZ,DT,NN,IN,PRP,VBZ,DT,JJ,CD,JJR,NNS,NNS,VBP,CD,NNS,VBP,JJ,NNS,VBP,TO,VB,EX,VBP,RB,NNS,IN",1
53,"NNP,NN,VBZ,IN,DT,NN,NN,IN,DT,NN,IN,NNP,JJ,JJS,CD,NNS,NNP,NN,IN,DT,PRP,VBP,NNS,RB,IN,DT,NN,NN,CC,DT,JJ,JJ,DT,NN,VBZ,TO,VB,RP,PRP,RB,VBZ,DT,NN,TO,VB,JJ,CC,TO,VB,TO,DT,DT,NN,VBZ,IN,JJ,JJ,NNS,IN,NNP,CC,DT,NNP",1
54,"DT,NN,VBZ,TO,VB,PRP,VBZ,NN,TO,VB,PRP,VBZ,DT,NN,IN,PRP$,PRP,VBZ,RB,PRP,VBZ,DT,NN,IN,PRP$,DT,NN,VBZ,DT,PRP,VBZ,IN,PRP$,RB,PRP,VBZ,NNS,IN,PRP$,PRP,VBZ,DT,NNS,RB,CC,VB,PRP,DT,NNS,VBP,DT,PRP$,NNS,VBP,JJ,CC,DT,NN,VBZ,TO,VB,NNS,DT,NNS,VBP,RB,WP,PRP",1
55,"DT,JJ,VBZ,DT,JJ,NN,PRP,VBZ,CD,NNS,PRP,VBZ,IN,PRP,VBZ,DT,JJ,NN,VBP,PRP,VBZ,CD,NN,NNS,IN,PRP$,PRP,VBZ,DT,IN,CD",1
56,"NNP,NNP,VBZ,DT,RBS,JJ,NN,PRP,VBZ,NNS,DT,JJ,NN,IN,CD,IN,PRP$,NNS,VBP,CD,NN,VBZ,VBN,DT,NNP,PRP,VBZ,PRP,IN,PRP,VBZ,JJ,NNS,IN,DT,JJ,VBZ,DT,NN,NNS,PRP,IN,DT,VBZ,IN,NNS,DT,NN,VBZ,PRP$,JJ,DT,IN,PRP,VBZ,DT,NN,TO,DT,PRP,VBP,RP,IN,PRP,VBZ,DT,NNP,DT,NN,NNS,TO,DT,NN,POS",1
57,"CD,NNS,VBP,NNS,CC,VB,PRP,IN,PRP,VBP,DT,JJ,DT,NN,JJ,NNS,IN,JJ,DT,NNS,VBP,DT,JJ,PRP,VBZ,RB,RB,IN,DT,PRP,VBP,RP,DT,CD,IN,DT,NNS,VBZ,RB,TO,PRP,VBZ,VBN,IN,NNS,IN,DT,DT,NNS,VBP,DT,IN,CD,PRP,NN,JJ,NNS,IN",1
58,"DT,VBZ,IN,NNP,DT,NN,NN,NNS,IN,PRP$,NN,DT,JJ,NN,VBZ,DT,JJ,PRP,VBZ,DT,EX,VBP,DT,NNS,IN,DT,DT,NNS,VBP,TO,DT,NN,NN,VBZ,DT,NN,VBZ,RB,VB,PRP",1
59,"DT,NN,VBZ,VBG,TO,PRP,VBZ,TO,VB,IN,DT,PRP,VBZ,DT,PRP,VBZ,IN,DT,NN,VBD,DT,EX,VBP,CD,NNS,IN,DT,PRP,VBP,PRP,VBP,VBN,IN,DT,NNS,VBP,VBG,DT,DT,NNP,CC,NNP,VBP,VBG",1
60,"DT,JJ,NN,VBZ,NNS,VBD,PRP$,PRP,VBZ,IN,PRP$,NN,VBZ,PRP$,PRP,VBZ,PRP,IN,PRP$,DT,NN,VBZ,IN,PRP$,NN,VBZ,PRP,VBZ,IN,PRP,VBZ,IN,JJR,JJ,JJ,NNS,VBP,NN,JJR,NNPS,VB,PRP,TO,PRP$,NNS,TO,VB,NN,VBZ,RB,JJ,IN,DT,NNS,VB,NNS,TO,VB,PRP,TO,PRP$,NNS,VBP,RB,VB,IN,PRP,VBZ,JJ,IN",1
61,"DT,NN,VBZ,IN,NNP,NN,VBZ,CD,CD,IN,PRP,VBP,CD,IN,PRP,VBZ,DT,PRP,VBZ,JJR,IN,DT,PRP$,NN,NNS,VBG,DT,NN,VBP,DT,JJ,PRP$,JJ,NN,VBZ,DT,DT,NNS,VBP,VBG,DT,JJ,PRP,VBP,PRP$,JJ,PRP,VB,IN,PRP$,JJ,NNS,CC,PRP,VBP,DT,NN,IN,DT,NN,VBP,RB,NN,VBZ,PRP,VBP,NN,VBZ,DT,PRP,VB,PRP,MD,VB,PRP$,JJ,NNS,RB",1
62,"NNP,VB,DT,NNS,IN,NN,IN,CD,NN,IN,EX,VBP,RB,JJ,PRP,VB,PDT,DT,NNS,CC,VB,DT,RB,PRP,VBP,NN,TO,NNS,VBP,DT,PRP,VBP,PRP,TO,JJ,PRP,VBP,RB,VB,DT,NNS,VBP,IN,DT,DT,NNS,MD,VB",1
63,"DT,NN,IN,NNP,VBZ,DT,PRP,VBZ,RB,PRP,VBZ,IN,DT,DT,NN,VBZ,CD,NNS,NNS,VBP,DT,NNP,NN,IN,DT,DT,CD,NNS,VBP,PRP,VBZ,DT,JJS,NN,IN,DT,NNP,PRP,VBZ,IN,DT,NN,VBZ,TO,VB,JJ,IN,DT,PRP,VBP,NN,TO,VB,DT,NN,VBZ,JJ,PRP,MD,VB,IN,IN,DT,NN,VBZ,JJ,PRP,VBP,TO,VB,DT,DT,NN,MD,VB,DT,NNP,NN,IN",1
